Equation;Method Sindy;Method NM;Squared deviation
lorenz;euler;euler;0.0999950521520550
lorenz;euler;midpoint_euler;2.69069123714368e-7
lorenz;euler;RK3;2.69071934026997e-7
lorenz;euler;RK4;9.60971194182300e-8
lorenz;midpoint_euler;euler;0.0999996001757506
lorenz;midpoint_euler;midpoint_euler;4.01136892425506e-7
lorenz;midpoint_euler;RK3;4.01079111042743e-7
lorenz;midpoint_euler;RK4;1.43242540901475e-7
lorenz;RK3;euler;0.0999995990098033
lorenz;RK3;midpoint_euler;4.01087432686628e-7
lorenz;RK3;RK3;4.01029656476808e-7
lorenz;RK3;RK4;1.43224878556406e-7
lorenz;RK4;euler;0.0999995990097907
lorenz;RK4;midpoint_euler;4.01087431100515e-7
lorenz;RK4;RK3;4.01029654890843e-7
lorenz;RK4;RK4;1.43224877989990e-7
;;;
rossler;euler;euler;0.0500046508795053
rossler;euler;midpoint_euler;3.60187082979453e-9
rossler;euler;RK3;3.63645217882607e-9
rossler;euler;RK4;1.29873292149460e-9
rossler;midpoint_euler;euler;0.0499997996051251
rossler;midpoint_euler;midpoint_euler;1.33643691814549e-9
rossler;midpoint_euler;RK3;1.33762930198190e-9
rossler;midpoint_euler;RK4;4.77724751013288e-10
rossler;RK3;euler;0.0499997997315784
rossler;RK3;midpoint_euler;1.33642637944191e-9
rossler;RK3;RK3;1.33762012256989e-9
rossler;RK3;RK4;4.77721472651854e-10
rossler;RK4;euler;0.0499997997169562
rossler;RK4;midpoint_euler;1.33641214558622e-9
rossler;RK4;RK3;1.33760589485014e-9
rossler;RK4;RK4;4.77716391323372e-10
;;;
chua_circuit;euler;euler;5.99450037943479e-10
chua_circuit;euler;midpoint_euler;2.72025513741782e-10
chua_circuit;euler;RK3;1.47406963684854e-11
chua_circuit;euler;RK4;6.28093145351966e-13
chua_circuit;midpoint_euler;euler;6.64189171612253e-11
chua_circuit;midpoint_euler;midpoint_euler;3.36715992970356e-10
chua_circuit;midpoint_euler;RK3;1.82462120620121e-11
chua_circuit;midpoint_euler;RK4;7.77461283976318e-13
chua_circuit;RK3;euler;6.64217154864260e-11
chua_circuit;RK3;midpoint_euler;3.36712698365117e-10
chua_circuit;RK3;RK3;1.82460335344183e-11
chua_circuit;RK3;RK4;7.77453677011550e-13
chua_circuit;RK4;euler;6.64217163175257e-11
chua_circuit;RK4;midpoint_euler;3.36712699040282e-10
chua_circuit;RK4;RK3;1.82460335710039e-11
chua_circuit;RK4;RK4;7.77453678570445e-13
