Equation;Method Sindy;Method NM;Squared deviation
;;;
exponential_growth;euler;euler;1.26561522900146e-12
exponential_growth;euler;midpoint_euler;3.06248480057565e-12
exponential_growth;euler;RK3;3.06248844640132e-12
exponential_growth;euler;RK4;3.06248844640132e-12
exponential_growth;midpoint_euler;euler;2.50000030351223e-13
exponential_growth;midpoint_euler;midpoint_euler;1.26562506823701e-12
exponential_growth;midpoint_euler;RK3;1.26562741198836e-12
exponential_growth;midpoint_euler;RK4;1.26562741198836e-12
exponential_growth;RK3;euler;2.49998999260345e-13
exponential_growth;RK3;midpoint_euler;1.26562274828129e-12
exponential_growth;RK3;RK3;1.26562509203048e-12
exponential_growth;RK3;RK4;1.26562509203048e-12
exponential_growth;RK4;euler;2.49999000453832e-13
exponential_growth;RK4;midpoint_euler;1.26562275096664e-12
exponential_growth;RK4;RK3;1.26562509471583e-12
exponential_growth;RK4;RK4;1.26562509471583e-12
;;;
logistic_growth;euler;euler;3.80135478021105e-12
logistic_growth;euler;midpoint_euler;6.12721001417695e-11
logistic_growth;euler;RK3;3.40403650427915e-11
logistic_growth;euler;RK4;1.80213697290787e-11
logistic_growth;midpoint_euler;euler;2.60003574480194e-12
logistic_growth;midpoint_euler;midpoint_euler;5.66401736907304e-11
logistic_growth;midpoint_euler;RK3;3.14670609759290e-11
logistic_growth;midpoint_euler;RK4;1.66590322818960e-11
logistic_growth;RK3;euler;2.60003270848853e-12
logistic_growth;RK3;midpoint_euler;5.66401614923208e-11
logistic_growth;RK3;RK3;3.14670541990056e-11
logistic_growth;RK3;RK4;1.66590286941131e-11
logistic_growth;RK4;euler;2.60003270054484e-12
logistic_growth;RK4;midpoint_euler;5.66401614597291e-11
logistic_growth;RK4;RK3;3.14670541808990e-11
logistic_growth;RK4;RK4;1.66590286845272e-11
;;;
linear2d;euler;euler;8.20049825598915e-11
linear2d;euler;midpoint_euler;3.21602321876614e-10
linear2d;euler;RK3;3.21602001326126e-10
linear2d;euler;RK4;3.21602001315441e-10
linear2d;midpoint_euler;euler;3.20800000047704e-12
linear2d;midpoint_euler;midpoint_euler;8.20045003325172e-11
linear2d;midpoint_euler;RK3;8.20042334034641e-11
linear2d;midpoint_euler;RK4;8.20042333982727e-11
linear2d;RK3;euler;3.20821334024613e-12
linear2d;RK3;midpoint_euler;8.20047671684732e-11
linear2d;RK3;RK3;8.20045002322554e-11
linear2d;RK3;RK4;8.20045002270640e-11
linear2d;RK4;euler;3.20821334264265e-12
linear2d;RK4;midpoint_euler;8.20047671962165e-11
linear2d;RK4;RK3;8.20045002599987e-11
linear2d;RK4;RK4;8.20045002548073e-11
;;;
lotka_volterra;euler;euler;8.20049825598915e-11
lotka_volterra;euler;midpoint_euler;3.21602321876614e-10
lotka_volterra;euler;RK3;3.21602001326126e-10
lotka_volterra;euler;RK4;3.21602001315441e-10
lotka_volterra;midpoint_euler;euler;3.20800000047704e-12
lotka_volterra;midpoint_euler;midpoint_euler;8.20045003325172e-11
lotka_volterra;midpoint_euler;RK3;8.20042334034641e-11
lotka_volterra;midpoint_euler;RK4;8.20042333982727e-11
lotka_volterra;RK3;euler;3.20821334024613e-12
lotka_volterra;RK3;midpoint_euler;8.20047671684732e-11
lotka_volterra;RK3;RK3;8.20045002322554e-11
lotka_volterra;RK3;RK4;8.20045002270640e-11
lotka_volterra;RK4;euler;3.20821334264265e-12
lotka_volterra;RK4;midpoint_euler;8.20047671962165e-11
lotka_volterra;RK4;RK3;8.20045002599987e-11
lotka_volterra;RK4;RK4;8.20045002548073e-11
;;;
linear3d;euler;euler;4.10036162736932e-11
linear3d;euler;midpoint_euler;1.60805660945326e-10
linear3d;euler;RK3;1.60805500656582e-10
linear3d;euler;RK4;1.60805500651240e-10
linear3d;midpoint_euler;euler;1.62200000841357e-12
linear3d;midpoint_euler;midpoint_euler;4.10033751683595e-11
linear3d;midpoint_euler;RK3;4.10032417105826e-11
linear3d;midpoint_euler;RK4;4.10032417079869e-11
linear3d;RK3;euler;1.62210665119558e-12
linear3d;RK3;midpoint_euler;4.10035085794121e-11
linear3d;RK3;RK3;4.10033751180528e-11
linear3d;RK3;RK4;4.10033751154571e-11
linear3d;RK4;euler;1.62210665343971e-12
linear3d;RK4;midpoint_euler;4.10035085931422e-11
linear3d;RK4;RK3;4.10033751317829e-11
linear3d;RK4;RK4;4.10033751291872e-11
;;;
lorenz;euler;euler;5.22206066856748e-7
lorenz;euler;midpoint_euler;2.69071623464381e-7
lorenz;euler;RK3;9.60971192953560e-8
lorenz;euler;RK4;3.26147799237629e-8
lorenz;midpoint_euler;euler;1.98885457856878e-10
lorenz;midpoint_euler;midpoint_euler;4.01139392175519e-7
lorenz;midpoint_euler;RK3;1.43242539658123e-7
lorenz;midpoint_euler;RK4;4.86156502453490e-8
lorenz;RK3;euler;2.00361664416125e-10
lorenz;RK3;midpoint_euler;4.01089932436641e-7
lorenz;RK3;RK3;1.43224877313146e-7
lorenz;RK3;RK4;4.86096557524772e-8
lorenz;RK4;euler;2.00361703956290e-10
lorenz;RK4;midpoint_euler;4.01089930850528e-7
lorenz;RK4;RK3;1.43224876746729e-7
lorenz;RK4;RK4;4.86096555602390e-8
;;;
rossler;euler;euler;8.51565971950779e-10
rossler;euler;midpoint_euler;3.63654145933965e-9
rossler;euler;RK3;1.29873292100932e-9
rossler;euler;RK4;4.40782082446653e-10
rossler;midpoint_euler;euler;7.33699992772548e-12
rossler;midpoint_euler;midpoint_euler;1.33768676257727e-9
rossler;midpoint_euler;RK3;4.77724750707828e-10
rossler;midpoint_euler;RK4;1.62136885192389e-10
rossler;RK3;euler;7.33807347915570e-12
rossler;RK3;midpoint_euler;1.33767758305302e-9
rossler;RK3;RK3;4.77721472346393e-10
rossler;RK3;RK4;1.62135772536387e-10
rossler;RK4;euler;7.33901449985512e-12
rossler;RK4;midpoint_euler;1.33766335497731e-9
rossler;RK4;RK3;4.77716391017913e-10
rossler;RK4;RK4;1.62134047964296e-10
;;;
chua_circuit;euler;euler;5.99450037943479e-10
chua_circuit;euler;midpoint_euler;2.72025513741782e-10
chua_circuit;euler;RK3;1.47406963684854e-11
chua_circuit;euler;RK4;6.28093145351966e-13
chua_circuit;midpoint_euler;euler;6.64189171612253e-11
chua_circuit;midpoint_euler;midpoint_euler;3.36715992970356e-10
chua_circuit;midpoint_euler;RK3;1.82462120620121e-11
chua_circuit;midpoint_euler;RK4;7.77461283976318e-13
chua_circuit;RK3;euler;6.64217154864260e-11
chua_circuit;RK3;midpoint_euler;3.36712698365117e-10
chua_circuit;RK3;RK3;1.82460335344183e-11
chua_circuit;RK3;RK4;7.77453677011550e-13
chua_circuit;RK4;euler;6.64217163175257e-11
chua_circuit;RK4;midpoint_euler;3.36712699040282e-10
chua_circuit;RK4;RK3;1.82460335710039e-11
chua_circuit;RK4;RK4;7.77453678570445e-13
