Equation;Method Sindy;Method NM;Squared deviation
exponential_growth;euler;euler;1.26561522900146e-12
exponential_growth;euler;midpoint_euler;3.06248480057565e-12
exponential_growth;euler;RK3;3.06248844640132e-12
exponential_growth;euler;RK4;3.06248844640132e-12
exponential_growth;midpoint_euler;euler;2.50000030351223e-13
exponential_growth;midpoint_euler;midpoint_euler;1.26562506823701e-12
exponential_growth;midpoint_euler;RK3;1.26562741198836e-12
exponential_growth;midpoint_euler;RK4;1.26562741198836e-12
exponential_growth;RK3;euler;2.49998999260345e-13
exponential_growth;RK3;midpoint_euler;1.26562274828129e-12
exponential_growth;RK3;RK3;1.26562509203048e-12
exponential_growth;RK3;RK4;1.26562509203048e-12
exponential_growth;RK4;euler;2.49999000453832e-13
exponential_growth;RK4;midpoint_euler;1.26562275096664e-12
exponential_growth;RK4;RK3;1.26562509471583e-12
exponential_growth;RK4;RK4;1.26562509471583e-12
logistic_growth;euler;euler;3.80135478021105e-12
logistic_growth;euler;midpoint_euler;7.65901251772119e-11
logistic_growth;euler;RK3;7.65908213462807e-11
logistic_growth;euler;RK4;7.65908213485844e-11
logistic_growth;midpoint_euler;euler;2.60003574480194e-12
logistic_growth;midpoint_euler;midpoint_euler;7.08002171134130e-11
logistic_growth;midpoint_euler;RK3;7.08008871958401e-11
logistic_growth;midpoint_euler;RK4;7.08008871980579e-11
logistic_growth;RK3;euler;2.60003270848853e-12
logistic_growth;RK3;midpoint_euler;7.08002018654010e-11
logistic_growth;RK3;RK3;7.08008719477625e-11
logistic_growth;RK3;RK4;7.08008719499804e-11
logistic_growth;RK4;euler;2.60003270054484e-12
logistic_growth;RK4;midpoint_euler;7.08002018246613e-11
logistic_growth;RK4;RK3;7.08008719070226e-11
logistic_growth;RK4;RK4;7.08008719092405e-11
linear2d;euler;euler;4.10024912799457e-11
linear2d;euler;midpoint_euler;1.60801160938307e-10
linear2d;euler;RK3;1.60801000663063e-10
linear2d;euler;RK4;1.60801000657720e-10
linear2d;midpoint_euler;euler;1.60400000023852e-12
linear2d;midpoint_euler;midpoint_euler;4.10022501662586e-11
linear2d;midpoint_euler;RK3;4.10021167017320e-11
linear2d;midpoint_euler;RK4;4.10021166991363e-11
linear2d;RK3;euler;1.60410667012307e-12
linear2d;RK3;midpoint_euler;4.10023835842366e-11
linear2d;RK3;RK3;4.10022501161277e-11
linear2d;RK3;RK4;4.10022501135320e-11
linear2d;RK4;euler;1.60410667132132e-12
linear2d;RK4;midpoint_euler;4.10023835981083e-11
linear2d;RK4;RK3;4.10022501299993e-11
linear2d;RK4;RK4;4.10022501274036e-11
lotka_volterra;euler;euler;4.10024912799457e-11
lotka_volterra;euler;midpoint_euler;1.60801160938307e-10
lotka_volterra;euler;RK3;1.60801000663063e-10
lotka_volterra;euler;RK4;1.60801000657720e-10
lotka_volterra;midpoint_euler;euler;1.60400000023852e-12
lotka_volterra;midpoint_euler;midpoint_euler;4.10022501662586e-11
lotka_volterra;midpoint_euler;RK3;4.10021167017320e-11
lotka_volterra;midpoint_euler;RK4;4.10021166991363e-11
lotka_volterra;RK3;euler;1.60410667012307e-12
lotka_volterra;RK3;midpoint_euler;4.10023835842366e-11
lotka_volterra;RK3;RK3;4.10022501161277e-11
lotka_volterra;RK3;RK4;4.10022501135320e-11
lotka_volterra;RK4;euler;1.60410667132132e-12
lotka_volterra;RK4;midpoint_euler;4.10023835981083e-11
lotka_volterra;RK4;RK3;4.10022501299993e-11
lotka_volterra;RK4;RK4;4.10022501274036e-11
linear3d;euler;euler;1.36678720912311e-11
linear3d;euler;midpoint_euler;5.36018869817753e-11
linear3d;euler;RK3;5.36018335521941e-11
linear3d;euler;RK4;5.36018335504133e-11
linear3d;midpoint_euler;euler;5.40666669471192e-13
linear3d;midpoint_euler;midpoint_euler;1.36677917227865e-11
linear3d;midpoint_euler;RK3;1.36677472368609e-11
linear3d;midpoint_euler;RK4;1.36677472359956e-11
linear3d;RK3;euler;5.40702217065195e-13
linear3d;RK3;midpoint_euler;1.36678361931374e-11
linear3d;RK3;RK3;1.36677917060176e-11
linear3d;RK3;RK4;1.36677917051524e-11
linear3d;RK4;euler;5.40702217813235e-13
linear3d;RK4;midpoint_euler;1.36678361977141e-11
linear3d;RK4;RK3;1.36677917105943e-11
linear3d;RK4;RK4;1.36677917097291e-11
lorenz;euler;euler;1.74068688952249e-7
lorenz;euler;midpoint_euler;8.96905411547936e-8
lorenz;euler;RK3;8.96906446756656e-8
lorenz;euler;RK4;8.96906447903480e-8
lorenz;midpoint_euler;euler;6.62951526189595e-11
lorenz;midpoint_euler;midpoint_euler;1.33713130725173e-7
lorenz;midpoint_euler;RK3;1.33693037014248e-7
lorenz;midpoint_euler;RK4;1.33693038174710e-7
lorenz;RK3;euler;6.67872214720416e-11
lorenz;RK3;midpoint_euler;1.33696644145547e-7
lorenz;RK3;RK3;1.33676552158936e-7
lorenz;RK3;RK4;1.33676553319312e-7
lorenz;RK4;euler;6.67872346520966e-11
lorenz;RK4;midpoint_euler;1.33696643616843e-7
lorenz;RK4;RK3;1.33676551630281e-7
lorenz;RK4;RK4;1.33676552790657e-7
